Brain**;Denmark;Finland;Norway;Sweden;Denmark;Finland;Norway;Sweden
1971-1975;59.4[51.9-67.9];71.2[64.0-79.2]*;79.2[72.6-86.3]*;71.9[67.7-76.4]*;63.1[57.7-69.0];79.1[75.6-82.8]*;82.2[78.6-85.9]*;81.4[79.1-83.9]*
1976-1980;65.7[58.2-74.2];81.8[75.9-88.2];84.4[79.3-89.8];79.0[75.1-83.1];64.9[60.1-70.2]*;83.2[80.3-86.1];86.0[83.0-89.2];84.4[82.3-86.6]*
1981-1985;63.2[55.7-71.8];81.5[76.0-87.3];85.9[81.3-90.8];81.3[77.8-85.1];75.8[71.4-80.5];83.4[80.8-86.2]*;87.1[84.3-89.9];88.1[86.2-90.1]
1986-1990;70.6[63.0-79.0];77.7[71.4-84.5]*;80.6[75.3-86.3];84.1[80.5-87.9];77.5[73.0-82.2]*;88.2[85.8-90.6];88.7[85.9-91.5];89.2[87.3-91.1]
1991-1995;84.0[77.4-91.1];85.0[80.2-90.2];82.9[77.4-88.7];86.0[82.3-89.8];83.4[79.2-87.7];89.2[87.1-91.4];89.7[87.1-92.3];87.1[85.0-89.3]*
1996-2000;83.4[77.4-89.8];87.1[83.3-91.1];84.0[78.8-89.5]*;88.0[84.6-91.4];82.1[78.1-86.3]*;91.3[89.4-93.2];88.8[85.8-91.9];90.0[88.0-92.1]
2001-2005;82.5[77.1-88.2];89.9[86.5-93.4];90.9[86.9-95.1];91.0[88.2-93.8];86.9[83.6-90.4]*;91.3[89.4-93.3];91.6[89.1-94.1]*;90.4[88.5-92.3]
2006-2010;84.4[79.7-89.4];92.3[89.2-95.6];89.4[85.9-93.0];88.5[85.8-91.4]*;91.8[89.3-94.4];93.3[91.8-94.9]*;94.2[92.3-96.2];91.9[90.2-93.6]*
2011-2015;94.2[91.4-97.0];91.9[89.6-94.3];93.0[90.4-95.6];92.2[90.1-94.3];93.4[91.6-95.2]*;95.1[93.9-96.3];95.1[93.5-96.7];95.0[93.8-96.2]
2016-2020;94.5[92.5-96.4];90.6[88.3-93.0];93.5[91.5-95.7];92.3[90.4-94.2];95.4[94.0-96.8];96.0[94.9-97.1];95.8[94.5-97.1];95.1[94.0-96.1]
